Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Hydra Heart,bottle,Hydra,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Ring of the Dusk Hydra","1000 GP",Eat,"You can use the heart of a Hydra as 1000 GP in crafting magic items, particularly of note is it's the only item that allows you to craft a Ring of the Dusk Hydra (Rare), which costs 2000 GP to craft. You could, however, eat the Hydra Heart and take in some of its effects, with consequences. You can take 8 hours studying the heart and monster literature with a DC 18 Nature or Arcana check to know what happens if you eat the heart. You can try to remember if you had read something on the matter before by making a DC 23 Nature or Arcana check. (DM Eyes only: When you consume the heart, you gain the power to cast spells as if you had multiple heads like the Hydra. You gain the Twinned Spell and Quickened Spell Metamagic Options, as well as 8 Sorcery points. You follow the normal rules for the Font of Magic feature of the Sorcerer class, but can use it to cast spells with any class. Your Hit Point maximum is reduced in half. This effect can be removed with the spell Remove Curse.)","You can use this in cooking to prepare food with a special effect for up to 4 people. When eaten, you gain slight regeneration for 10 minutes, during which you regain 5 Hit Points at the start of your turn so long as you start your turn with at least 1 Hit Point.","Survival, Nature, Arcana","23(x1)",Swamp
Ring of the Dusk Hydra,-,-,Ring (Rare)(Requires Attunement),-,-,-,"While you are wearing this ring and are attuned to it, you can expend up to 4 Hit Die and temporarily reduce your Hit Point maximum by the result. In exchange you gain 2 Sorcery points per Hit Die expended, and gain the Twinned Spell and Quickened Spell Metamagic options if you don't already have them. You follow the normal rules for the Font of Magic feature of the Sorcerer class, but can use it to cast spells with any class. You can reduce your Sorcery Points obtained with this feature to regain the Hit Point maximum you subtracted, but it does not recover Hit Points when you do so. You regain the sorcery points you allow for on a Long Rest.",-,-,-,-
Water Elemental Water,vial,Water Elemental,Ingredient (Uncommon),Wondrous Item (Elemental Gem),100 GP,-,"The magical remnants of a Water Elemental can be used as 100 GP worth in materials to enchant an emerald worth 100 GP to make an Elemental Gem (Emerald)","You can use this to make soup for 1 person. Mmm, good soup. When drunk, you temporarily gain a level 1 spell slot. Once used, it does not come back.","Arcana, Alchemist Kit","15(x1)", "Swamp"
Stone Golem Fragment,bag,Stone Golem,Ingredient (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",5000 GP,-,"The rune filled fragment of a Stone Golem can be used as 5000 GP worth of materials to craft magic items.",-,"Survival, Perception, Investigation","17(x1)", "Foothill"
Earth Elemental Earth,vial,Earth Elemental,Ingredient (Uncommon),"Wondrous Item (Elemental Gem)",100 GP,-,"The magical remnants of an Earth Elemental can be used as 100 GP worth in materials to enchant a yellow diamond worth 100 GP to craft an Elemental Gem (Yellow Diamond)",-,"Arcana, Alchemist Kit","15(x1)", "Foothill"
Wyvern Blood,vial,Wyvern,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Bellowing Dragoncrest Ring, Lingering Dragoncrest Ring",250 GP,"Weapon Enchant, Armor Enchant, Drink","Although minor, wyverns are still dragons, and their blood is valuavle to craft magic items. Alternatively, you can use a Bonus Action to coat a weapon, which becomes enchanted for 1 minute, adding a +1 to attack rolls and damage rolls for the duration. You can also use a bonus action to coat your armor or shields with it and enchant them for 1 minute, adding a +1 bonus to your Armor Class and Saving Throws for the duration. As with the blood of any dragon, you can also use it as materials towards the 20,000 GP necessary to craft a Bellowing Dragoncrest Ring (Very Rare), or a Lingering Dragoncrest Ring (Very Rare). Lastly, you can drink it to gain draconic powers for 1 hour. You can speak and understand Draconic, gain Darkvision to 120 ft, and have a +1 bonus to your Strength modifier for the duration.","You can use this to cook a meal with special effects for up to 6 people. When eaten, you gain draconic powers for 10 minutes. You can speak and understand Draconic, gain Darkvision to 120 ft and have a +1 bonus to your Strength modifier for the duration.","Survival, Nature, Arcana, Alchemist Kit","17(x1),20(x2),23(x3)", "Foothill"
Wyvern Stinger Venom,vial,Wyvern,Consumable (Rare),"Potions, Scrolls, Weapons, Rods, Wands, Staffs, Rings, Wondrous Items",250 GP,Weapon enchant,"You can use a Bonus Action to apply this to a weapon or 20 ammunition. When applied to a weapon or ammunition, you deal +2d6 Poison damage each time you hit for 10 minutes.","When refined with a Poisoner Kit or an Alchemist Kit, you can make 4 vials of an antidote. When injected, you end any Poisoned condition you may have, and gain resistance to Poison damage for 1 hour.","Survival, Nature, Poisoner's Kit, Alchemist Kit","17(x1)", "Foothill"
Wyvern Antitoxin,vial,-,Consumable (Rare),-,-,"Inject, (DM Eyes only Weapon Enchant)","When injected, you end any Poisoned condition you may have, and gain resistance to Poison damage for 1 hour. (DM Eyes only: The players might have the idea to coat a weapon with the antitoxin in fights against the Hartsblighted. In such a case, they can take a Bonus Action to apply the antitoxin to a weapon or 10 ammunition, and it lasts 5 minutes. When hit, creatures with the Blight Dependent trait are affected as stated.)",-,-,-,-
Wyvern Tooth,pouch,Wyvern,Ingredient (Rare),"Weapons, Ammunition",100 GP,-,"However minor, dragon parts are valuable to craft weapons. You can use these as 100 GP worth of materials towards making weapons and ammunition.",-,"Survival, Nature","13(x1),15(x3),20(x7)", "Foothill"
Wyvern Scales,bag,Wyvern,Ingredient (Rare),"Armor (Scale), Shields",500 GP,-,"Sturdy dragon scales are perfect to craft Scale armor and shields. You can use these as 500 GP worth in materials to craft these items.",-,"Survival, Nature, Arcana","17(x1)", "Foothill"
Wyvern Heart,bottle,Wyvern,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Bellowing Dragoncrest Ring, Lingering Dragoncrest Ring, Wyvern Ring",1000 GP,Eat,"The heart of a Wyvern. Although minor, it is still the heart of a Dragon. You can use it in place of 1000 GP worth in materials to craft magic items, particularly you can use this towards the 2000 GP necessary to craft a Wyvern Ring (Rare). As with the blood of any dragon, you can also use it as materials towards the 20,000 GP necessary to craft a Bellowing Dragoncrest Ring (Very Rare), or a Lingering Dragoncrest Ring (Very Rare). Alternatively, you can consume it to gain its magic, although it might not be without consequences. You can take 4 hours studying the heart and monster literature with a DC 15 Arcana check to know what happens if you eat the heart. You can try to remember if you had read something on the matter before by making a DC 20 Nature or Arcana check.(DM Eyes only: When eaten, you are ridden with a Minor Draconic Curse. You can speak and understand Draconic, and gain Darkvision to 120 ft. You also grow scales, your base Armor Class equals 10 plus your Dexterity and Charisma modifiers, and you stop having proficiency to wear armor. You can use a Magic Action to cast Alter Self, which also takes 2d6 Necrotic damage from the painful transformation. You can use this feature once until you take a short or long rest. You can use a Magic Action to grow dragon wings, you take 2d6 Necrotic damage from the transformation, and you gain a Fly speed equal to your ground speed for 1 hour. You can use this feature once until you take a Short or Long Rest. You can only remove this with a Remove Curse spell.)","You can use this in cooking to prepare food with a special effect for up to 4 people. When eaten, you gain draconic powers for 1 hour. You can speak and understand Draconic, gain Darkvision to 120 ft, and have a +1 bonus to your Strength modifier for the duration.","Survival, Nature, Arcana","20(x1)", "Foothill"
Wyvern Ring,-,-,Ring (Rare)(Requires Attunement),-,-,-,"You can speak and understand Draconic, gain Darkvision to 120 ft. You grow spectral dragon scales, your base Armor Class equals 10 plus your Dexterity and Charisma modifiers. The ring has 4 charges. You can use 1 charge and a Magic Action to cast Alter Self. You can use 2 charges to cast Fly on yourself by growing spectral dragon wings. The ring regains 1d4 charges on a Long Rest.",-,-,-,-
Vulture Feathers,bag,Giant Vulture,Ingredient (Common),"Arrow Fletchings",13 GP,-,"You can use these in place of 13 GP to craft ammunition that uses fletchings.",-,"Survival, Nature","13(x2),15(x4),17(x6)", "Foothill"
Vulture Stomach Acid,bag,Giant Vulture,Ingredient (Common),"Acid",25 GP,-,"You can use this as 25 GP worth in crafting Acid (Players Handbook).",-,"Survival, Nature, Alchemist Kit","15(x1),17(x2)", "Foothill"
Fire Elemental Embers,vial,Fire Elemental,Ingredient (Uncommon),"Wondrous Item (Elemental Gem)",100 GP,-,"The magical remnants of a Fire Elemental can be used as 100 GP worth in materials to enchant a Red Corundum worth 100 GP to craft an Elemental Gem (Red Corundum)",-,"Arcana, Alchemist Kit","15(x1)", "Prairie"
Shield Guardian Plates,bag,Shield Guardian,Consumable (Rare),"Potions, Scrolls, Spells, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Armor Attachment,"Filled with arcane runes, it seems these plates are enchanted to magically attach to the body of the Shield Guardian. You could take advantage of this and attach it to your shield or armor for 1 hour. You gain a +2 bonus to your Armor Class for the duration.",-,"Investigation, Arcana","17(x1),25(x2)", "Prairie"
Shield Guardian Core,bag,Shield Guardian,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",1000 GP,Activate,"The core of the Shield Guardian is crafted to store magical instructions to keep the automaton active. You can take advantage of this to store a spell. In its current form, you could keep a single 3rd level spell in it, which would deplete the magic of the core when the spell is released. However, you could use this as 1000 GP worth of materials towards the 2000 GP necessary to craft a Ring of Spell Storing (Rare) and make its use permanent.",-,"Investigation, Arcana","17(x1)", "Prairie"
Ettin Tusk,bag,Ettin,Ingredient (Uncommon),"Weapons, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,-,"Twice the tusks for twice the heads. You could use each of these as 50 GP worth in materials to craft magic items that have parts made of tusk.",-,"Survival, Nature, Medicine","15(x2),17(x4)", "Prairie"
Nightmare Ashes,vial,Nightmare,Consumable (Uncommon),"Potions, Scrolls, Spells",50 GP,Sprinkle,"When a Nightmare is killed, the flames of its mane and tail extinguish, leaving behind trace amounts of sulfuric ash. This gray, yellow fine residue is useful to alchemists and potion makers. Spellcasters can use the ash as 50 GP worth of material components. When sprinkled, you gain the ability of the Nightmare to jump between the Ethereal and Material plane as a Magic Action for 1 minute. In order to jump from one plane to the other, you must use a Magic Action each time. If the time runs out while you are still in the Ethereal plane, you are teleported to the Material Plane and take 1d10 Force damage.",-,"Survival, Perception, Investigation, Arcana, Alchemist Kit","17(x1),23(x2)", "Prairie"
